name,value,date
明天,10,23日20时40分
除夕,3,23日20时40分
哈哈哈,3,23日20时40分
手机,3,23日20时40分
七点,2,23日20时40分
聊着,2,23日20时40分
发现,2,23日20时40分
一排,2,23日20时40分
提前,2,23日20时40分
最帅,2,23日20时40分
羊排,2,23日20时40分
鸡排,2,23日20时40分
猪排,2,23日20时40分
烧花,2,23日20时40分
喜欢,2,23日20时40分
饺子,2,23日20时40分
明天,8,23日20时50分
世界,4,23日20时50分
哈哈哈,4,23日20时50分
游戏,3,23日20时50分
感觉,2,23日20时50分
新鲜感,2,23日20时50分
热情,2,23日20时50分
过了,2,23日20时50分
开播,2,23日20时50分
下午,2,23日20时50分
试试,2,23日20时50分
嘤嘤,3,23日21时00分
哔哩哔哩(゜-゜)つロ乾杯~,2,23日21时10分
明天,2,23日21时20分
待机,2,23日21时30分
明天,2,23日21时30分
预定,2,23日21时30分
预定,2,23日21时40分
预订,2,23日21时40分
占个,3,23日21时50分
几点,2,23日21时50分
明天,2,23日21时50分
肯定,2,23日21时50分
不多,2,23日21时50分
找到,2,23日21时50分
场子,2,23日21时50分
HAH,2,23日21时50分
明天,3,23日22时00分
提前,3,23日22时00分
占座,2,23日22时00分
晚上,2,23日22时00分
前排,2,23日22时00分
前排,2,23日22时10分
期待,2,23日22时10分
233,2,23日22时20分
33,2,23日22时30分
2233,2,23日22时30分
提前,4,23日22时40分
考察,3,23日22时40分
2233,2,23日22时40分
666,2,23日22时50分
七点,3,23日23时00分
会员,3,23日23时00分
开播,2,23日23时00分
有人,2,23日23时00分
谢谢,2,23日23时00分
占座,6,23日23时40分
占座,5,23日23时50分
老弟,2,23日23时50分
哔哩哔哩(゜-゜)つロ乾杯~,7,24日00时00分
欧拉,6,24日00时00分
有人,5,24日00时00分
今天下午,4,24日00时00分
新年快乐,3,24日00时00分
拜年祭,3,24日00时00分
明天,3,24日00时00分
占个,2,24日00时00分
30,2,24日00时00分
熬夜,2,24日00时00分
前排,2,24日00时00分
七点,2,24日00时00分
